True_Label,Predicted_Label,Error_Score,Class
0,0,0.00746115,Normal
0,0,0.04229382,Normal
0,0,0.012770674,Normal
0,0,0.04114462,Normal
0,0,0.056715757,Normal
0,0,0.13272743,Normal
0,0,0.039185546,Normal
0,0,0.07743184,Normal
0,0,0.13408546,Normal
0,0,0.006727363,Normal
0,0,0.13387509,Normal
0,0,0.01695559,Normal
0,0,0.16489777,Normal
0,0,0.007963825,Normal
0,0,0.0021105139,Normal
0,0,0.14940558,Normal
0,0,0.016347108,Normal
0,0,0.1481107,Normal
0,0,0.04229728,Normal
0,0,0.040085487,Normal
0,0,0.13449766,Normal
0,0,0.018372126,Normal
0,0,0.08632332,Normal
0,0,0.063626796,Normal
0,0,0.024629066,Normal
0,0,0.014635618,Normal
0,0,0.0396996,Normal
0,0,0.019298023,Normal
0,0,0.20501956,Normal
0,0,0.0077691,Normal
0,0,0.100909196,Normal
0,0,0.047189154,Normal
0,0,0.051477224,Normal
0,0,0.009873729,Normal
0,0,0.0091476925,Normal
0,0,0.012603367,Normal
0,0,0.21080533,Normal
0,0,0.0091476925,Normal
0,0,0.0033685106,Normal
0,0,0.0091476925,Normal
0,0,0.055991463,Normal
0,0,0.005102454,Normal
0,0,0.015448816,Normal
0,0,0.018543215,Normal
0,0,0.0091476925,Normal
0,0,0.010930559,Normal
0,0,0.0137707405,Normal
0,0,0.094813086,Normal
0,0,0.009557992,Normal
0,0,0.007109666,Normal
0,0,0.049924508,Normal
0,0,0.07365164,Normal
0,0,0.018502228,Normal
0,0,0.009814826,Normal
0,0,0.2488804,Normal
0,1,0.91949767,Normal
0,1,0.39652577,Normal
0,0,0.018195072,Normal
0,0,0.038921975,Normal
0,0,0.004208957,Normal
0,0,0.009687971,Normal
0,0,0.03104732,Normal
0,0,0.015487749,Normal
0,0,0.036561478,Normal
0,0,0.0078367265,Normal
0,0,0.061959304,Normal
0,0,0.009117145,Normal
0,0,0.04542519,Normal
0,0,0.050968133,Normal
0,0,0.003953752,Normal
0,0,0.003953752,Normal
0,0,0.003953752,Normal
0,0,0.0039478987,Normal
0,0,0.003953752,Normal
0,0,0.0039490554,Normal
0,0,0.003953752,Normal
0,0,0.0041376636,Normal
0,0,0.006452403,Normal
0,0,0.04813931,Normal
0,0,0.031149548,Normal
0,0,0.010550645,Normal
0,0,0.09042579,Normal
0,0,0.0059227156,Normal
0,0,0.042351395,Normal
0,0,0.0732565,Normal
0,0,0.011185061,Normal
0,1,0.7328499,Normal
0,1,3.1997309,Normal
0,1,0.4365335,Normal
0,0,0.0047724186,Normal
0,0,0.049558297,Normal
0,0,0.09843311,Normal
0,0,0.008227765,Normal
0,0,0.012400737,Normal
0,0,0.006825584,Normal
0,0,0.0059884484,Normal
0,0,0.0061045666,Normal
0,0,0.04076811,Normal
0,0,0.023057263,Normal
0,0,0.19099788,Normal
0,0,0.0028051035,Normal
0,0,0.010990606,Normal
0,0,0.0089374995,Normal
0,0,0.040295366,Normal
0,0,0.022567067,Normal
0,0,0.14741732,Normal
0,0,0.18275766,Normal
0,0,0.11427012,Normal
0,0,0.007913638,Normal
0,0,0.007503026,Normal
0,0,0.005381063,Normal
0,1,2.8167362,Normal
0,0,0.1317395,Normal
0,0,0.008657214,Normal
0,0,0.008937694,Normal
0,0,0.07054532,Normal
0,0,0.009174429,Normal
0,0,0.0065730345,Normal
0,0,0.008721835,Normal
0,0,0.0050395774,Normal
0,0,0.16802746,Normal
0,1,2.7553785,Normal
0,0,0.010389759,Normal
0,0,0.27677134,Normal
0,0,0.027832815,Normal
0,1,1.647293,Normal
0,0,0.0042190803,Normal
0,0,0.00800471,Normal
0,0,0.016971337,Normal
0,0,0.013911187,Normal
0,0,0.007902959,Normal
0,0,0.0065530064,Normal
0,0,0.08892744,Normal
0,0,0.0073620784,Normal
0,0,0.007694494,Normal
0,0,0.022337481,Normal
0,0,0.016344676,Normal
0,0,0.0068562436,Normal
0,0,0.069888905,Normal
0,0,0.14741732,Normal
0,0,0.006266643,Normal
0,0,0.031005861,Normal
0,0,0.015451656,Normal
0,0,0.018207407,Normal
0,0,0.0075244354,Normal
0,0,0.0075244354,Normal
0,0,0.02985103,Normal
0,0,0.09393439,Normal
0,0,0.0034989675,Normal
0,0,0.019992873,Normal
0,0,0.04665748,Normal
0,0,0.006813637,Normal
